Date,Open,High,Low,Close
2020-01-02,71.343,71.368,71.286,71.3575
2020-01-03,71.683,71.8069,71.6502,71.7957
2020-01-06,72.075,72.115,71.9467,71.9492
2020-01-07,71.72,71.8745,71.68,71.7926
2020-01-08,72.035,72.07,71.686,71.686
2020-01-09,71.43,71.525,71.271,71.28
2020-01-10,71.093,71.215,70.9402,70.9425
2020-01-13,70.785,70.928,70.752,70.855
2020-01-14,70.888,70.96,70.806,70.85
2020-01-15,70.928,70.928,70.793,70.793
2020-01-16,70.868,70.97,70.835,70.95
2020-01-17,70.975,71.09,70.96,71.09
2020-01-20,71.083,71.148,71.0325,71.1032
2020-01-21,71.16,71.235,71.13,71.22
2020-01-22,71.185,71.237,71.164,71.199
2020-01-23,71.205,71.343,71.2,71.288
2020-01-24,71.26,71.361,71.2225,71.325
2020-01-27,71.425,71.495,71.3646,71.466
2020-01-28,71.333,71.3779,71.2608,71.315
2020-01-29,71.208,71.266,71.1684,71.251
2020-01-30,71.4425,71.6035,71.44,71.477
2020-01-31,71.483,71.52,71.29,71.35
2020-02-03,71.52,71.6,71.382,71.385
2020-02-04,71.205,71.28,71.09,71.274
2020-02-05,71.24,71.288,71.1498,71.25
2020-02-06,71.218,71.295,71.1767,71.19
2020-02-07,71.235,71.485,71.225,71.4125
2020-02-10,71.355,71.435,71.275,71.3391
2020-02-11,71.225,71.315,71.193,71.295
2020-02-12,71.222,71.3725,71.222,71.3725
2020-02-13,71.4775,71.493,71.3225,71.348
2020-02-14,71.365,71.41,71.325,71.37
2020-02-17,71.4375,71.44,71.3188,71.3342
2020-02-18,71.395,71.557,71.39,71.496
2020-02-19,71.57,71.57,71.442,71.493
2020-02-20,71.633,71.694,71.54,71.6175
2020-02-24,71.795,71.92,71.79,71.92
2020-02-25,71.91,71.91,71.788,71.887
2020-02-26,71.7625,71.81,71.59,71.625
2020-02-27,71.635,71.655,71.56,71.6
2020-02-28,71.945,72.265,71.93,72.157
2020-03-02,72.24,72.47,72.025,72.43
2020-03-03,72.685,73.19,72.67,73.105
2020-03-04,73.39,73.615,73.15,73.25
2020-03-05,73.285,73.337,73.0475,73.3
2020-03-06,73.66,73.84,73.53,73.725
2020-03-09,73.985,74.16,73.91,74.104
2020-03-11,73.995,73.995,73.58,73.58
2020-03-12,74.135,74.235,74.077,74.2025
2020-03-13,74.068,74.09,73.801,73.99
2020-03-16,74.12,74.3475,74.12,74.265
2020-03-17,73.905,74.255,73.905,74.2125
2020-03-18,74.125,74.385,74.1,74.2775
2020-03-19,74.975,75.269,74.89,75.269
2020-03-20,74.972,75.1125,74.8,75.1125
2020-03-23,76.025,76.12,75.85,76.05
2020-03-24,76.15,76.235,76.05,76.085
2020-03-26,75.345,75.434,75.14,75.221
2020-03-27,74.45,75.395,74.45,74.795
2020-03-30,75.2,75.56,75.13,75.4875
2020-03-31,75.435,75.61,75.29,75.45
2020-04-03,75.84,76.16,75.79,76.15
2020-04-07,75.85,75.92,75.55,75.586
2020-04-08,75.81,76.39,75.8,76.305
2020-04-09,76.11,76.54,76.086,76.296
2020-04-13,76.3,76.44,76.22,76.259
2020-04-15,75.96,76.49,75.96,76.45
2020-04-16,76.79,76.886,76.69,76.886
2020-04-17,76.575,76.627,76.259,76.459
2020-04-20,76.458,76.675,76.2784,76.486
2020-04-21,76.694,76.88,76.602,76.88
2020-04-22,76.916,76.916,76.471,76.518
2020-04-23,76.33,76.35,75.99,76.1
2020-04-24,76.297,76.478,76.17,76.35
2020-04-27,76.145,76.345,76.045,76.156
2020-04-28,76.33,76.44,76.089,76.12
2020-04-29,75.97,75.97,75.576,75.676
2020-04-30,75.08,75.209,74.935,75.097
2020-05-01,75.622,75.799,75.566,75.778
2020-05-04,75.725,75.8,75.571,75.642
2020-05-05,75.623,75.8342,75.483,75.762
2020-05-06,75.73,75.927,75.632,75.927
2020-05-08,75.395,75.63,75.265,75.584
2020-05-11,75.585,75.765,75.55,75.6607
2020-05-12,75.9,75.94,75.4161,75.48
2020-05-13,75.285,75.493,75.285,75.363
2020-05-14,75.6,75.6,75.3227,75.3344
2020-05-15,75.46,75.695,75.441,75.6177
2020-05-18,75.855,76.046,75.84,76.022
2020-05-19,75.75,75.785,75.562,75.622
2020-05-20,75.57,75.858,75.57,75.687
2020-05-21,75.678,75.815,75.3767,75.4796
2020-05-22,75.724,75.997,75.707,75.997
2020-05-26,75.68,75.742,75.61,75.641
2020-05-27,75.693,75.749,75.554,75.5736
2020-05-28,75.88,75.88,75.69,75.825
2020-05-29,75.705,75.705,75.449,75.514
2020-06-01,75.335,75.603,75.29,75.494
2020-06-02,75.55,75.612,75.0074,75.093
2020-06-03,75.021,75.51,75.021,75.3556
2020-06-04,75.61,75.64,75.349,75.5341
2020-06-05,75.385,75.64,75.367,75.5665
2020-06-08,75.58,75.643,75.3944,75.4656
2020-06-09,75.51,75.625,75.43,75.625
2020-06-10,75.48,75.605,75.413,75.56
2020-06-11,75.815,75.884,75.6662,75.72
2020-06-12,76.103,76.103,75.7548,75.7872
2020-06-15,75.925,76.146,75.917,76.0233
2020-06-16,75.88,76.2703,75.773,76.0134
2020-06-17,76.195,76.3202,76.0724,76.2663
2020-06-18,76.16,76.185,76.0772,76.1328
2020-06-19,76.29,76.291,76.1047,76.1264
2020-06-22,76.17,76.19,75.9587,76.0062
2020-06-23,75.86,75.895,75.5923,75.6031
2020-06-24,75.6,75.76,75.579,75.6487
2020-06-25,75.735,75.78,75.5018,75.5236
2020-06-26,75.51,75.655,75.4325,75.574
2020-06-29,75.64,75.642,75.4552,75.4808
2020-06-30,75.475,75.62,75.448,75.5634
2020-07-01,75.51,75.6,75.48,75.5374
2020-07-02,75.505,75.53,74.71,74.8151
2020-07-03,74.59,74.98,74.59,74.6692
2020-07-06,74.515,74.81,74.515,74.612
2020-07-07,74.75,74.965,74.66,74.879
2020-07-08,74.865,75.065,74.865,75.055
